"subject" "activity" "measurement" "mean_of_means"
"34" "1" "SITTING" "tBodyAcc.mean...X" 0.261237565425532
"35" "1" "SITTING" "tBodyAcc.mean...Y" -0.00130828765170213
"36" "1" "SITTING" "tBodyAcc.mean...Z" -0.104544182255319
"37" "1" "SITTING" "tGravityAcc.mean...X" 0.831509933404255
"38" "1" "SITTING" "tGravityAcc.mean...Y" 0.204411592680851
"39" "1" "SITTING" "tGravityAcc.mean...Z" 0.332043702765957
"40" "1" "SITTING" "tBodyAccJerk.mean...X" 0.0774825199574468
"41" "1" "SITTING" "tBodyAccJerk.mean...Y" -0.000619102785106384
"42" "1" "SITTING" "tBodyAccJerk.mean...Z" -0.00336779235021277
"43" "1" "SITTING" "tBodyGyro.mean...X" -0.045350056512766
"44" "1" "SITTING" "tBodyGyro.mean...Y" -0.0919241549361702
"45" "1" "SITTING" "tBodyGyro.mean...Z" 0.0629313811914894
"46" "1" "SITTING" "tBodyGyroJerk.mean...X" -0.0936793807234043
"47" "1" "SITTING" "tBodyGyroJerk.mean...Y" -0.0402118124255319
"48" "1" "SITTING" "tBodyGyroJerk.mean...Z" -0.046702627
"49" "1" "SITTING" "tBodyAccMag.mean.." -0.948536786170213
"50" "1" "SITTING" "tGravityAccMag.mean.." -0.948536786170213
"51" "1" "SITTING" "tBodyAccJerkMag.mean.." -0.987364195531915
"52" "1" "SITTING" "tBodyGyroMag.mean.." -0.93089249
"53" "1" "SITTING" "tBodyGyroJerkMag.mean.." -0.991976341276596
"54" "1" "SITTING" "fBodyAcc.mean...X" -0.979641238723404
"55" "1" "SITTING" "fBodyAcc.mean...Y" -0.944084550425532
"56" "1" "SITTING" "fBodyAcc.mean...Z" -0.959184889148936
"57" "1" "SITTING" "fBodyAccJerk.mean...X" -0.986597022553191
"58" "1" "SITTING" "fBodyAccJerk.mean...Y" -0.981579467021277
"59" "1" "SITTING" "fBodyAccJerk.mean...Z" -0.986053092340425
"60" "1" "SITTING" "fBodyGyro.mean...X" -0.976161464042553
"61" "1" "SITTING" "fBodyGyro.mean...Y" -0.975838585319149
"62" "1" "SITTING" "fBodyGyro.mean...Z" -0.951315544468085
"63" "1" "SITTING" "fBodyAccMag.mean.." -0.947782922553192
"64" "1" "SITTING" "fBodyBodyAccJerkMag.mean.." -0.985262126808511
"65" "1" "SITTING" "fBodyBodyGyroMag.mean.." -0.958435589361702
"66" "1" "SITTING" "fBodyBodyGyroJerkMag.mean.." -0.989797547234043
"67" "1" "STANDING" "tBodyAcc.mean...X" 0.278917629056604
"68" "1" "STANDING" "tBodyAcc.mean...Y" -0.0161375901037736
"69" "1" "STANDING" "tBodyAcc.mean...Z" -0.110601817735849
"70" "1" "STANDING" "tGravityAcc.mean...X" 0.942952000377358
"71" "1" "STANDING" "tGravityAcc.mean...Y" -0.272983832264151
"72" "1" "STANDING" "tGravityAcc.mean...Z" 0.0134905823226415
"73" "1" "STANDING" "tBodyAccJerk.mean...X" 0.0753766542264151
"74" "1" "STANDING" "tBodyAccJerk.mean...Y" 0.00797573092830189
"75" "1" "STANDING" "tBodyAccJerk.mean...Z" -0.00368524954709434
"76" "1" "STANDING" "tBodyGyro.mean...X" -0.0239877347979245
"77" "1" "STANDING" "tBodyGyro.mean...Y" -0.0593972209811321
"78" "1" "STANDING" "tBodyGyro.mean...Z" 0.074800751
"79" "1" "STANDING" "tBodyGyroJerk.mean...X" -0.0996092129056604
"80" "1" "STANDING" "tBodyGyroJerk.mean...Y" -0.0440627877924528
"81" "1" "STANDING" "tBodyGyroJerk.mean...Z" -0.0489505466716981
"82" "1" "STANDING" "tBodyAccMag.mean.." -0.984278207358491
"83" "1" "STANDING" "tGravityAccMag.mean.." -0.984278207358491
"84" "1" "STANDING" "tBodyAccJerkMag.mean.." -0.992367790566038
"85" "1" "STANDING" "tBodyGyroMag.mean.." -0.976493792830189
"86" "1" "STANDING" "tBodyGyroJerkMag.mean.." -0.994966790566038
"87" "1" "STANDING" "fBodyAcc.mean...X" -0.995249932641509
"88" "1" "STANDING" "fBodyAcc.mean...Y" -0.977070847735849
"89" "1" "STANDING" "fBodyAcc.mean...Z" -0.985297098679245
"90" "1" "STANDING" "fBodyAccJerk.mean...X" -0.994630797358491
"91" "1" "STANDING" "fBodyAccJerk.mean...Y" -0.985418704528302
"92" "1" "STANDING" "fBodyAccJerk.mean...Z" -0.990752166037736
"93" "1" "STANDING" "fBodyGyro.mean...X" -0.986386786037736
"94" "1" "STANDING" "fBodyGyro.mean...Y" -0.988984455849057
"95" "1" "STANDING" "fBodyGyro.mean...Z" -0.980773122830189
"96" "1" "STANDING" "fBodyAccMag.mean.." -0.985356361132075
"97" "1" "STANDING" "fBodyBodyAccJerkMag.mean.." -0.99254247754717
"98" "1" "STANDING" "fBodyBodyGyroMag.mean.." -0.984617623396226
"99" "1" "STANDING" "fBodyBodyGyroJerkMag.mean.." -0.994815376981132
"100" "1" "WALKING" "tBodyAcc.mean...X" 0.277330758736842
"101" "1" "WALKING" "tBodyAcc.mean...Y" -0.0173838185273684
"102" "1" "WALKING" "tBodyAcc.mean...Z" -0.111148103547368
"103" "1" "WALKING" "tGravityAcc.mean...X" 0.935223201473684
"104" "1" "WALKING" "tGravityAcc.mean...Y" -0.282165021263158
"105" "1" "WALKING" "tGravityAcc.mean...Z" -0.068102864
"106" "1" "WALKING" "tBodyAccJerk.mean...X" 0.0740416333157895
"107" "1" "WALKING" "tBodyAccJerk.mean...Y" 0.0282721095884211
"108" "1" "WALKING" "tBodyAccJerk.mean...Z" -0.00416840617789474
"109" "1" "WALKING" "tBodyGyro.mean...X" -0.041830963526
"110" "1" "WALKING" "tBodyGyro.mean...Y" -0.0695300462115789
"111" "1" "WALKING" "tBodyGyro.mean...Z" 0.0849448173042105
"112" "1" "WALKING" "tBodyGyroJerk.mean...X" -0.0899975423705263
"113" "1" "WALKING" "tBodyGyroJerk.mean...Y" -0.0398428709463158
"114" "1" "WALKING" "tBodyGyroJerk.mean...Z" -0.0461309295021053
"115" "1" "WALKING" "tBodyAccMag.mean.." -0.136971176556842
"116" "1" "WALKING" "tGravityAccMag.mean.." -0.136971176556842
"117" "1" "WALKING" "tBodyAccJerkMag.mean.." -0.141428809031579
"118" "1" "WALKING" "tBodyGyroMag.mean.." -0.160979552536842
"119" "1" "WALKING" "tBodyGyroJerkMag.mean.." -0.298703679084211
"120" "1" "WALKING" "fBodyAcc.mean...X" -0.202794306326316
"121" "1" "WALKING" "fBodyAcc.mean...Y" 0.0897127264021053
"122" "1" "WALKING" "fBodyAcc.mean...Z" -0.331560117789474
"123" "1" "WALKING" "fBodyAccJerk.mean...X" -0.170546964549579
"124" "1" "WALKING" "fBodyAccJerk.mean...Y" -0.0352255241130632
"125" "1" "WALKING" "fBodyAccJerk.mean...Z" -0.468999224631579
"126" "1" "WALKING" "fBodyGyro.mean...X" -0.339032197115789
"127" "1" "WALKING" "fBodyGyro.mean...Y" -0.103059416434737
"128" "1" "WALKING" "fBodyGyro.mean...Z" -0.255940940315789
"129" "1" "WALKING" "fBodyAccMag.mean.." -0.128623450629474
"130" "1" "WALKING" "fBodyBodyAccJerkMag.mean.." -0.0571194000343158
"131" "1" "WALKING" "fBodyBodyGyroMag.mean.." -0.199252568986316
"132" "1" "WALKING" "fBodyBodyGyroJerkMag.mean.." -0.319308593778947
"133" "1" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...X" 0.289188320408163
"134" "1" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Y" -0.00991850461020408
"135" "1" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Z" -0.107566190908163
"136" "1" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...X" 0.931874418979592
"137" "1" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Y" -0.266610338979592
"138" "1" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Z" -0.0621199585938775
"139" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...X" 0.0541553164897959
"140" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Y" 0.0296504490408163
"141" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Z" -0.0109719730183673
"142" "1" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...X" -0.0350781902989796
"143" "1" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Y" -0.0909371290204082
"144" "1" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Z" 0.0900850142030612
"145" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...X" -0.0739592036271429
"146" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Y" -0.0439902783367347
"147" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Z" -0.0270461061061224
"148" "1" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.0271882914106122
"149" "1" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.0271882914106122
"150" "1" "WALKING_DOWNSTAIRS" "tBodyAccJerkMag.mean.." -0.0894474807979592
"151" "1" "WALKING_DOWNSTAIRS" "tBodyGyroMag.mean.." -0.0757412543673469
"152" "1" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag.mean.." -0.295463843346939
"153" "1" "WALKING_DOWNSTAIRS" "fBodyAcc.mean...X" 0.0382291831510204
"154" "1" "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Y" 0.00154990783591837
"155" "1" "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Z" -0.225574471693878
"156" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...X" -0.0276638676122449
"157" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...Y" -0.12866715764898
"158" "1" "WALKING_DOWNSTAIRS" "fBodyAccJerk.mean...Z" -0.288334735714286
"159" "1" "WALKING_DOWNSTAIRS" "fBodyGyro.mean...X" -0.352449631363265
"160" "1" "WALKING_DOWNSTAIRS" "fBodyGyro.mean...Y" -0.0557022524693878
"161" "1" "WALKING_DOWNSTAIRS" "fBodyGyro.mean...Z" -0.0318694271979592
"162" "1" "WALKING_DOWNSTAIRS" "fBodyAccMag.mean.." 0.0965845343040816
"163" "1" "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag.mean.." 0.0262184949326531
"164" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag.mean.." -0.185720285744898
"165" "1" "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag.mean.." -0.281963359177551
"166" "1" "WALKING_UPSTAIRS" "tBodyAcc.mean...X" 0.255461689622641
"167" "1" "WALKING_UPSTAIRS" "tBodyAcc.mean...Y" -0.0239531492643396
"168" "1" "WALKING_UPSTAIRS" "tBodyAcc.mean...Z" -0.0973020020943396
"169" "1" "WALKING_UPSTAIRS" "tGravityAcc.mean...X" 0.89335109754717
"170" "1" "WALKING_UPSTAIRS" "tGravityAcc.mean...Y" -0.362153364339623
"171" "1" "WALKING_UPSTAIRS" "tGravityAcc.mean...Z" -0.075402939754717
"172" "1" "WALKING_UPSTAIRS" "tBodyAccJerk.mean...X" 0.101372729922642
"173" "1" "WALKING_UPSTAIRS" "tBodyAccJerk.mean...Y" 0.0194863076188679
"174" "1" "WALKING_UPSTAIRS" "tBodyAccJerk.mean...Z" -0.0455625449113208
"175" "1" "WALKING_UPSTAIRS" "tBodyGyro.mean...X" 0.050549379754717
"176" "1" "WALKING_UPSTAIRS" "tBodyGyro.mean...Y" -0.166170015088679
"177" "1" "WALKING_UPSTAIRS" "tBodyGyro.mean...Z" 0.0583595463981132
"178" "1" "WALKING_UPSTAIRS" "tBodyGyroJerk.mean...X" -0.122232768011321
"179" "1" "WALKING_UPSTAIRS" "tBodyGyroJerk.mean...Y" -0.0421485884509434
"180" "1" "WALKING_UPSTAIRS" "tBodyGyroJerk.mean...Z" -0.0407125527654717
"181" "1" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.129927630735849
"182" "1" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." -0.129927630735849
"183" "1" "WALKING_UPSTAIRS" "tBodyAccJerkMag.mean.." -0.466503446226415
"184" "1" "WALKING_UPSTAIRS" "tBodyGyroMag.mean.." -0.126735589969811
"185" "1" "WALKING_UPSTAIRS" "tBodyGyroJerkMag.mean.." -0.59488286509434
"186" "1" "WALKING_UPSTAIRS" "fBodyAcc.mean...X" -0.404321784150943
"187" "1" "WALKING_UPSTAIRS" "fBodyAcc.mean...Y" -0.190976720811321
"188" "1" "WALKING_UPSTAIRS" "fBodyAcc.mean...Z" -0.433349702075472
"189" "1" "WALKING_UPSTAIRS" "fBodyAccJerk.mean...X" -0.479875245660377
"190" "1" "WALKING_UPSTAIRS" "fBodyAccJerk.mean...Y" -0.41344458754717
"191" "1" "WALKING_UPSTAIRS" "fBodyAccJerk.mean...Z" -0.685474353962264
"192" "1" "WALKING_UPSTAIRS" "fBodyGyro.mean...X" -0.492611667924528
"193" "1" "WALKING_UPSTAIRS" "fBodyGyro.mean...Y" -0.319474609056604
"194" "1" "WALKING_UPSTAIRS" "fBodyGyro.mean...Z" -0.453597213018868
"195" "1" "WALKING_UPSTAIRS" "fBodyAccMag.mean.." -0.352395944716981
"196" "1" "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag.mean.." -0.44265216245283
"197" "1" "WALKING_UPSTAIRS" "fBodyBodyGyroMag.mean.." -0.325961457396226
"198" "1" "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag.mean.." -0.634665082075472
"199" "10" "LAYING" "tBodyAcc.mean...X" 0.280230574137931
"200" "10" "LAYING" "tBodyAcc.mean...Y" -0.024294484137931
"201" "10" "LAYING" "tBodyAcc.mean...Z" -0.117168642362069
"202" "10" "LAYING" "tGravityAcc.mean...X" -0.453069737586207
"203" "10" "LAYING" "tGravityAcc.mean...Y" -0.139297681034483
"204" "10" "LAYING" "tGravityAcc.mean...Z" -0.031121624137931
"205" "10" "LAYING" "tBodyAccJerk.mean...X" 0.073815064487931
"206" "10" "LAYING" "tBodyAccJerk.mean...Y" 0.015698997097069
"207" "10" "LAYING" "tBodyAccJerk.mean...Z" 0.00716689586275862
"208" "10" "LAYING" "tBodyGyro.mean...X" -0.019555937162069
"209" "10" "LAYING" "tBodyGyro.mean...Y" -0.0770325657265517
"210" "10" "LAYING" "tBodyGyro.mean...Z" 0.104720478344828
"211" "10" "LAYING" "tBodyGyroJerk.mean...X" -0.100308254413793
"212" "10" "LAYING" "tBodyGyroJerk.mean...Y" -0.0388797920413793
"213" "10" "LAYING" "tBodyGyroJerk.mean...Z" -0.0590744912758621
"214" "10" "LAYING" "tBodyAccMag.mean.." -0.956781819655172
"215" "10" "LAYING" "tGravityAccMag.mean.." -0.956781819655172
"216" "10" "LAYING" "tBodyAccJerkMag.mean.." -0.976234435172414
"217" "10" "LAYING" "tBodyGyroMag.mean.." -0.937590998793103
"218" "10" "LAYING" "tBodyGyroJerkMag.mean.." -0.970830848965517
"219" "10" "LAYING" "fBodyAcc.mean...X" -0.96918420862069
"220" "10" "LAYING" "fBodyAcc.mean...Y" -0.954341849137931
"221" "10" "LAYING" "fBodyAcc.mean...Z" -0.964300845172414
"222" "10" "LAYING" "fBodyAccJerk.mean...X" -0.979014668793104
"223" "10" "LAYING" "fBodyAccJerk.mean...Y" -0.968039173793103
"224" "10" "LAYING" "fBodyAccJerk.mean...Z" -0.972592212931034
"225" "10" "LAYING" "fBodyGyro.mean...X" -0.953793912068965
"226" "10" "LAYING" "fBodyGyro.mean...Y" -0.954670034482759
"227" "10" "LAYING" "fBodyGyro.mean...Z" -0.969755777241379
"228" "10" "LAYING" "fBodyAccMag.mean.." -0.950848109137931
"229" "10" "LAYING" "fBodyBodyAccJerkMag.mean.." -0.968561121551724
"230" "10" "LAYING" "fBodyBodyGyroMag.mean.." -0.937692642586207
"231" "10" "LAYING" "fBodyBodyGyroJerkMag.mean.." -0.960976821551724
"232" "10" "SITTING" "tBodyAcc.mean...X" 0.270612056481481
"233" "10" "SITTING" "tBodyAcc.mean...Y" -0.015042681852037
"234" "10" "SITTING" "tBodyAcc.mean...Z" -0.104253238796296
"235" "10" "SITTING" "tGravityAcc.mean...X" 0.791887198148148
"236" "10" "SITTING" "tGravityAcc.mean...Y" -0.041260775
"237" "10" "SITTING" "tGravityAcc.mean...Z" 0.20253457287037
"238" "10" "SITTING" "tBodyAccJerk.mean...X" 0.0775372505185185
"239" "10" "SITTING" "tBodyAccJerk.mean...Y" 0.00897875458703704
"240" "10" "SITTING" "tBodyAccJerk.mean...Z" -0.00499566427666667
"241" "10" "SITTING" "tBodyGyro.mean...X" -0.0432432176851852
"242" "10" "SITTING" "tBodyGyro.mean...Y" -0.0679993598888889
"243" "10" "SITTING" "tBodyGyro.mean...Z" 0.0745958869444444
"244" "10" "SITTING" "tBodyGyroJerk.mean...X" -0.0931555026481481
"245" "10" "SITTING" "tBodyGyroJerk.mean...Y" -0.0411216540925926
"246" "10" "SITTING" "tBodyGyroJerk.mean...Z" -0.048941191502963
"247" "10" "SITTING" "tBodyAccMag.mean.." -0.96075719962963
"248" "10" "SITTING" "tGravityAccMag.mean.." -0.96075719962963
"249" "10" "SITTING" "tBodyAccJerkMag.mean.." -0.988054237592593
"250" "10" "SITTING" "tBodyGyroMag.mean.." -0.944202043703704
"251" "10" "SITTING" "tBodyGyroJerkMag.mean.." -0.993707487592593
"252" "10" "SITTING" "fBodyAcc.mean...X" -0.984943144259259
"253" "10" "SITTING" "fBodyAcc.mean...Y" -0.9404502
"254" "10" "SITTING" "fBodyAcc.mean...Z" -0.97464465462963
"255" "10" "SITTING" "fBodyAccJerk.mean...X" -0.989365013888889
"256" "10" "SITTING" "fBodyAccJerk.mean...Y" -0.980962856111111
"257" "10" "SITTING" "fBodyAccJerk.mean...Z" -0.986056767777778
"258" "10" "SITTING" "fBodyGyro.mean...X" -0.986477363333333
"259" "10" "SITTING" "fBodyGyro.mean...Y" -0.986179215555556
"260" "10" "SITTING" "fBodyGyro.mean...Z" -0.96539546962963
"261" "10" "SITTING" "fBodyAccMag.mean.." -0.955281010740741
"262" "10" "SITTING" "fBodyBodyAccJerkMag.mean.." -0.985900801111111
"263" "10" "SITTING" "fBodyBodyGyroMag.mean.." -0.974459732592593
"264" "10" "SITTING" "fBodyBodyGyroJerkMag.mean.." -0.992191529259259
"265" "10" "STANDING" "tBodyAcc.mean...X" 0.276650300681818
"266" "10" "STANDING" "tBodyAcc.mean...Y" -0.0155418603409091
"267" "10" "STANDING" "tBodyAcc.mean...Z" -0.107964083931818
"268" "10" "STANDING" "tGravityAcc.mean...X" 0.954008785454545
"269" "10" "STANDING" "tGravityAcc.mean...Y" -0.0431597830454545
"270" "10" "STANDING" "tGravityAcc.mean...Z" 0.0346980210431818
"271" "10" "STANDING" "tBodyAccJerk.mean...X" 0.0809784390227273
"272" "10" "STANDING" "tBodyAccJerk.mean...Y" 0.0119007630575
"273" "10" "STANDING" "tBodyAccJerk.mean...Z" -0.00485841031477273
"274" "10" "STANDING" "tBodyGyro.mean...X" -0.0281854325604545
"275" "10" "STANDING" "tBodyGyro.mean...Y" -0.0876820486363636
"276" "10" "STANDING" "tBodyGyro.mean...Z" 0.103251560681818
"277" "10" "STANDING" "tBodyGyroJerk.mean...X" -0.104753833181818
"278" "10" "STANDING" "tBodyGyroJerk.mean...Y" -0.0371593000727273
"279" "10" "STANDING" "tBodyGyroJerk.mean...Z" -0.0584162547045455
"280" "10" "STANDING" "tBodyAccMag.mean.." -0.951988907954545
"281" "10" "STANDING" "tGravityAccMag.mean.." -0.951988907954545
"282" "10" "STANDING" "tBodyAccJerkMag.mean.." -0.965163818409091
"283" "10" "STANDING" "tBodyGyroMag.mean.." -0.929787259772727
"284" "10" "STANDING" "tBodyGyroJerkMag.mean.." -0.971637661590909
"285" "10" "STANDING" "fBodyAcc.mean...X" -0.970099814318182
"286" "10" "STANDING" "fBodyAcc.mean...Y" -0.923378745227273
"287" "10" "STANDING" "fBodyAcc.mean...Z" -0.955272383863636
"288" "10" "STANDING" "fBodyAccJerk.mean...X" -0.963565166136364
"289" "10" "STANDING" "fBodyAccJerk.mean...Y" -0.942187760454545
"290" "10" "STANDING" "fBodyAccJerk.mean...Z" -0.972241512272727
"291" "10" "STANDING" "fBodyGyro.mean...X" -0.924005912954545
"292" "10" "STANDING" "fBodyGyro.mean...Y" -0.960323800909091
"293" "10" "STANDING" "fBodyGyro.mean...Z" -0.950915730909091
"294" "10" "STANDING" "fBodyAccMag.mean.." -0.9401101675
"295" "10" "STANDING" "fBodyBodyAccJerkMag.mean.." -0.951633690454545
"296" "10" "STANDING" "fBodyBodyGyroMag.mean.." -0.937786743409091
"297" "10" "STANDING" "fBodyBodyGyroJerkMag.mean.." -0.965614081363636
"298" "10" "WALKING" "tBodyAcc.mean...X" 0.278574076603774
"299" "10" "WALKING" "tBodyAcc.mean...Y" -0.017022351190566
"300" "10" "WALKING" "tBodyAcc.mean...Z" -0.109057512132075
"301" "10" "WALKING" "tGravityAcc.mean...X" 0.963092149811321
"302" "10" "WALKING" "tGravityAcc.mean...Y" -0.0838277013962264
"303" "10" "WALKING" "tGravityAcc.mean...Z" 0.0549276242264151
"304" "10" "WALKING" "tBodyAccJerk.mean...X" 0.0857943809283019
"305" "10" "WALKING" "tBodyAccJerk.mean...Y" 0.00408248792641509
"306" "10" "WALKING" "tBodyAccJerk.mean...Z" -0.0162953195396226
"307" "10" "WALKING" "tBodyGyro.mean...X" 0.0106894976215094
"308" "10" "WALKING" "tBodyGyro.mean...Y" -0.0819540783760943
"309" "10" "WALKING" "tBodyGyro.mean...Z" 0.0986695731160377
"310" "10" "WALKING" "tBodyGyroJerk.mean...X" -0.122709563462264
"311" "10" "WALKING" "tBodyGyroJerk.mean...Y" -0.0519204981037736
"312" "10" "WALKING" "tBodyGyroJerk.mean...Z" -0.0611262928849057
"313" "10" "WALKING" "tBodyAccMag.mean.." -0.127400912069811
"314" "10" "WALKING" "tGravityAccMag.mean.." -0.127400912069811
"315" "10" "WALKING" "tBodyAccJerkMag.mean.." -0.132624992298283
"316" "10" "WALKING" "tBodyGyroMag.mean.." -0.156458730358491
"317" "10" "WALKING" "tBodyGyroJerkMag.mean.." -0.440363636603774
"318" "10" "WALKING" "fBodyAcc.mean...X" -0.114190001283019
"319" "10" "WALKING" "fBodyAcc.mean...Y" 0.0533911909886792
"320" "10" "WALKING" "fBodyAcc.mean...Z" -0.41218272245283
"321" "10" "WALKING" "fBodyAccJerk.mean...X" -0.107941107467925
"322" "10" "WALKING" "fBodyAccJerk.mean...Y" 0.0309052018326415
"323" "10" "WALKING" "fBodyAccJerk.mean...Z" -0.464020508867925
"324" "10" "WALKING" "fBodyGyro.mean...X" -0.277913780754717
"325" "10" "WALKING" "fBodyGyro.mean...Y" -0.345209034528302
"326" "10" "WALKING" "fBodyGyro.mean...Z" -0.108530029881132
"327" "10" "WALKING" "fBodyAccMag.mean.." -0.0930237422792453
"328" "10" "WALKING" "fBodyBodyAccJerkMag.mean.." 0.0205189516981132
"329" "10" "WALKING" "fBodyBodyGyroMag.mean.." -0.412616909622642
"330" "10" "WALKING" "fBodyBodyGyroJerkMag.mean.." -0.515065335849057
"331" "10" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...X" 0.290401594315789
"332" "10" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Y" -0.0200050770710526
"333" "10" "WALKING_DOWNSTAIRS" "tBodyAcc.mean...Z" -0.110848597247368
"334" "10" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...X" 0.939807421052632
"335" "10" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Y" -0.0646160768947368
"336" "10" "WALKING_DOWNSTAIRS" "tGravityAcc.mean...Z" 0.0418715409263158
"337" "10" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...X" 0.100959387447368
"338" "10" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Y" 0.0107824902368421
"339" "10" "WALKING_DOWNSTAIRS" "tBodyAccJerk.mean...Z" 0.000152617173684209
"340" "10" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...X" -0.124839594289474
"341" "10" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Y" -0.106742538831579
"342" "10" "WALKING_DOWNSTAIRS" "tBodyGyro.mean...Z" 0.0724433685578947
"343" "10" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...X" -0.0643764005526316
"344" "10" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Y" -0.0489378053157895
"345" "10" "WALKING_DOWNSTAIRS" "tBodyGyroJerk.mean...Z" -0.0720413112078947
"346" "10" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.250843769394737
"347" "10" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.250843769394737
"348" "10" "WALKING_DOWNSTAIRS" "tBodyAccJerkMag.mean.." 0.0507010228431579
"349" "10" "WALKING_DOWNSTAIRS" "tBodyGyroMag.mean.." -0.0238468037578947
"350" "10" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag.mean.." -0.401854311315789
"351" "10" "WALKING_DOWNSTAIRS" "fBodyAcc.mean...X" 0.215665273157895
"352" "10" "WALKING_DOWNSTAIRS" "fBodyAcc.mean...Y" 0.00904660360263158
